GenusSpecies,ImageID
Euphorbia lathyris,5992
Euphorbia nicaeensis,23266
Euphorbia nicaeensis,19833
Euphorbia nicaeensis,34521
Euphorbia nicaeensis,34663
Euphorbia nicaeensis,2977
Euphorbia nicaeensis,2734
Euphorbia nicaeensis,13639
Euphorbia nicaeensis,10830
Euphorbia nicaeensis,8863
Euphorbia nicaeensis,26279
Euphorbia nicaeensis,26257
Euphorbia nicaeensis,32723
Euphorbia nicaeensis,8190
Euphorbia nicaeensis,14657
Euphorbia nicaeensis,24231
Euphorbia nicaeensis,10861
Euphorbia nicaeensis,175
Euphorbia nicaeensis,14056
Euphorbia nicaeensis,11952
Euphorbia nicaeensis,13088
Euphorbia nicaeensis,20594
Euphorbia nicaeensis,21653
Euphorbia nicaeensis,27374
Glaucium flavum,10988
Glaucium flavum,6691
Globularia alypum,24710
Globularia bisnagarica,20762
Globularia bisnagarica,17262
Globularia repens,14214
Globularia repens,32601
Globularia repens,30120
Globularia repens,25
Globularia repens,35650
Globularia repens,20723
Globularia repens,22111
Helianthemum apenninum,20940
Helianthemum apenninum,19093
Anemone hepatica,26423
Anemone hepatica,14253
Anemone hepatica,29707
Anemone hepatica,3767
Anemone hepatica,20558
Anemone hepatica,19540
Anemone hepatica,23629
Anemone hepatica,29270
Anemone hepatica,29015
Anemone hepatica,10845
Anemone hepatica,3616
Anemone hepatica,31854
Anemone hepatica,22294
Anemone hepatica,36130
Limonium vulgare,12789
Limonium vulgare,2163
Limonium vulgare,11794
Limonium vulgare,7319
Limonium vulgare,1703
Limonium vulgare,3901
Liquidambar styraciflua,10852
Liquidambar styraciflua,14182
Liquidambar styraciflua,16595
Liquidambar styraciflua,1675
Liriodendron tulipifera,2081
Liriodendron tulipifera,3033
Lithodora fruticosa,16714
Lithodora fruticosa,11884
Lithodora fruticosa,5007
Lythrum salicaria,33588
Lythrum salicaria,29965
Lythrum salicaria,17981
Lythrum salicaria,3448
Melittis melissophyllum,33720
Melittis melissophyllum,28644
Melittis melissophyllum,11188
Melittis melissophyllum,12696
Melittis melissophyllum,34534
Orchis mascula,14735
Orchis mascula,12424
Orchis mascula,23548
Orchis mascula,12528
Orchis mascula,13969
Orchis mascula,15743
Orchis mascula,10297
Orchis mascula,16481
Orchis mascula,32459
Orchis mascula,610
Orchis purpurea,5631
Orchis purpurea,29076
Orchis purpurea,22055
Orchis purpurea,21356
Pistacia lentiscus,797
Populus nigra,15517
Populus nigra,31913
Populus nigra,24056
Prunus serotina,15681
Prunus serotina,5878
Prunus serotina,17181
Prunus serotina,14863
Prunus serotina,15520
Quercus cerris,31984
Quercus cerris,18667
Quercus cerris,19134
Quercus cerris,32873
Rosa canina,1709
Rosa canina,31061
Rosa canina,4352
Salix caprea,24754
Salix caprea,16705
Salix caprea,2993
Salix caprea,20684
Salix caprea,15982
Salix caprea,25616
Senecio inaequidens,27416
Senecio inaequidens,2658
Senecio inaequidens,31342
Senecio inaequidens,8733
Senecio inaequidens,7655
Senecio inaequidens,12409
Anacamptis morio,9031
Helianthemum apenninum,35263
Helianthemum apenninum,18046
Helianthemum apenninum,28324
Helianthemum apenninum,17453
Helianthemum apenninum,4768
Helianthemum apenninum,8994
Helianthemum apenninum,34773
Helianthemum apenninum,1564
Hyoscyamus albus,32573
Hyoscyamus albus,35326
Hyoscyamus albus,12067
Hyoscyamus albus,13002
Acer campestre,10158
Orchis mascula,23409
Orchis purpurea,14160
Cornus sanguinea,14873
Crataegus monogyna,21784
Crataegus monogyna,23617
Crataegus monogyna,3195
Crataegus monogyna,5956
Prunus dulcis,30865
Prunus dulcis,8937
Prunus dulcis,12719
Ophrys lutea,22323
Ophrys lutea,30292
Aphyllanthes monspeliensis,25046
Euphorbia characias,13268
Euphorbia characias,22619
Asphodelus cerasiferus,18712
Asphodelus cerasiferus,32506
Asphodelus cerasiferus,25181
Celtis australis,22377
Celtis australis,14508
Aphyllanthes monspeliensis,3264
Quercus pubescens,15058
Quercus pubescens,7502
Quercus pubescens,12627
Quercus pubescens,32078
Quercus pubescens,16710
Quercus pubescens,32484
Quercus ilex,22809
Crataegus monogyna,7814
Crataegus monogyna,17489
Crataegus monogyna,25705
Ophrys lutea,13936
Ophrys lutea,20435
Viburnum tinus,7781
Viburnum tinus,19176
Juniperus oxycedrus,8279
Quercus pubescens,26087
Quercus pubescens,23512
Pinus halepensis,3385
Quercus ilex,5920
Quercus ilex,19888
Ailanthus altissima,8147
Cercis siliquastrum,36082
Cercis siliquastrum,5657
Cercis siliquastrum,19902
Cercis siliquastrum,15106
Limodorum abortivum,13058
Limodorum abortivum,20421
Pittosporum tobira,9497
Pittosporum tobira,7863
Arbutus unedo,23496
Cercis siliquastrum,23641
Cercis siliquastrum,21631
Quercus ilex,15635
Quercus ilex,5192
Cercis siliquastrum,24324
Quercus ilex,29139
Quercus ilex,9168
Epilobium hirsutum,27346
Epilobium hirsutum,18640
Hedera helix,8685
Eriobotrya japonica,17776
Eriobotrya japonica,32358
Eriobotrya japonica,30701
Celtis australis,10454
Neottia nidus-avis,24866
Asphodelus cerasiferus,33344
Neottia nidus-avis,4446
Asphodelus cerasiferus,20380
Neottia nidus-avis,29572
Agrimonia eupatoria,34347
Agrimonia eupatoria,7131
Agrimonia eupatoria,28401
Agrimonia eupatoria,6890
Fagus sylvatica,8054
Clematis vitalba,14630
Ligustrum vulgare,4227
Ligustrum vulgare,24118
Cornus sanguinea,12900
Cornus mas,23702
Cornus mas,6359
Solanum nigrum,498
Solanum nigrum,6814
Verbascum thapsus,30906
Verbascum thapsus,32683
Epilobium hirsutum,15700
Epilobium hirsutum,11748
Pistacia terebinthus,7962
Anemone nemorosa,10773
Ophrys apifera,4059
Helleborus foetidus,13739
Cyanus montanus,20188
Pulsatilla alpina,21355
Ophrys apifera,13483
Ranunculus ficaria,15993
Thalictrum aquilegiifolium,6666
Pistacia terebinthus,13589
Pistacia lentiscus,23921
Agrimonia eupatoria,18596
Clematis vitalba,16252
Narcissus assoanus,22107
Narcissus dubius,26284
Clinopodium vulgare,30489
Clinopodium vulgare,7392
Campanula trachelium,22718
Campanula trachelium,1752
Ophrys apifera,557
Ophrys apifera,12653
Ophrys apifera,30345
Stachys sylvatica,26742
Stachys sylvatica,7965
Serapias lingua,16401
Ophrys lutea,13467
Narcissus poeticus,10431
Narcissus poeticus,21098
Matthiola sinuata,15876
Eryngium maritimum,10578
Calystegia soldanella,14044
Calystegia soldanella,1921
Calystegia soldanella,8594
Euphorbia paralias,8838
Bryonia cretica,10030
Quercus ilex,14993
Quercus pubescens,10109
Quercus pubescens,15744
Olea europaea,3660
Hedera helix,13821
Hedera helix,684
Laurus nobilis,25738
Arbutus unedo,14053
Alnus glutinosa,10554
Alnus glutinosa,11253
Alnus glutinosa,33223
Alnus glutinosa,10154
Malva moschata,17559
Malva moschata,24855
Malva moschata,31163
Malva moschata,20201
Betula pendula,19868
Betula pendula,9048
Betula pendula,28257
Betula pendula,23158
Himantoglossum hircinum,13076
Himantoglossum hircinum,17721
Monotropa hypopitys,23887
Aesculus hippocastanum,9389
Aesculus hippocastanum,25141
Crataegus monogyna,6704
Crataegus monogyna,25372
Pistacia terebinthus,24575
Euonymus latifolius,24307
Euonymus latifolius,1171
Euonymus latifolius,3955
Euonymus latifolius,21282
Euonymus latifolius,35180
Euonymus latifolius,8497
Cotinus coggygria,3931
Sorbus domestica,9953
Euonymus latifolius,7840
Malva moschata,26386
Elaeagnus angustifolia,7864
Centaurea aspera,18412
Echinophora spinosa,6000
Echinophora spinosa,7859
Echinophora spinosa,18779
Cakile maritima,15717
Cakile maritima,2039
Cakile maritima,5809
Aesculus hippocastanum,13489
Aesculus hippocastanum,20697
Aesculus hippocastanum,13641
Aesculus hippocastanum,16168
Silene dioica,36041
Silene dioica,24055
Hyoscyamus albus,24543
Hyoscyamus albus,23205
Elaeagnus angustifolia,12020
Elaeagnus angustifolia,18845
Acer opalus,15040
Acer opalus,16814
Colutea arborescens,18632
Melittis melissophyllum,16728
Anemone hepatica,26550
Plantago media,7516
Plantago media,17461
Plantago media,1582
Plantago media,15055
Crithmum maritimum,15919
Cakile maritima,17007
Cakile maritima,34958
Crithmum maritimum,4136
Crithmum maritimum,12262
Malva dendromorpha,24205
Malva dendromorpha,14394
Campanula trachelium,22417
Campanula trachelium,31880
Ophrys apifera,17888
Orchis purpurea,1641
Orchis purpurea,16972
Anacamptis morio,33704
Dactylorhiza maculata,22121
Centaurea aspera,25409
Buddleja davidii,23824
Anacamptis morio,5994
Anacamptis morio,7177
Anacamptis morio,11224
Robinia pseudoacacia,2316
Robinia pseudoacacia,9050
Hedera helix,27
Dactylorhiza maculata,12355
Dryas octopetala,24476
Narcissus poeticus,23691
Orchis mascula,18631
Soldanella alpina,23790
Gentiana verna,15093
Orchis mascula,7524
Rosa pendulina,16350
Rosa pendulina,2128
Rosa pendulina,266
Himantoglossum robertianum,3369
Himantoglossum robertianum,30726
Himantoglossum robertianum,23096
Laurus nobilis,6782
Ranunculus ficaria,17318
Helleborus foetidus,19065
Quercus ilex,10926
Asplenium scolopendrium,8337
Tussilago farfara,12861
Tussilago farfara,7904
Tussilago farfara,15169
Tussilago farfara,27308
Tussilago farfara,29529
Epipactis helleborine,22531
Epipactis helleborine,23869
Epipactis helleborine,34440
Epipactis helleborine,1253
Epipactis helleborine,17964
Epipactis helleborine,5419
Epipactis helleborine,26443
Epipactis helleborine,7292
Epipactis helleborine,13102
Epipactis helleborine,35043
Narcissus assoanus,2199
Narcissus assoanus,18322
Narcissus assoanus,33908
Narcissus assoanus,8774
Centaurea aspera,7174
Centaurea aspera,21213
Convolvulus cantabrica,31463
Convolvulus cantabrica,32540
Convolvulus cantabrica,11675
Euphorbia paralias,13421
Scolymus hispanicus,22103
Scolymus hispanicus,25933
Acer platanoides,9354
Acer pseudoplatanus,24176
Cyanus montanus,23733
Ranunculus ficaria,30648
Salvia pratensis,131
Solanum nigrum,16872
Anacamptis pyramidalis,30828
Anacamptis pyramidalis,13298
Caltha palustris,327
Caltha palustris,12061
Caltha palustris,21440
Caltha palustris,20671
Cornus mas,8928
Cornus mas,7607
Cornus mas,23063
Tussilago farfara,18132
Tussilago farfara,5336
Scilla bifolia,4924
Scilla bifolia,14629
Scilla bifolia,881
Cornus mas,17977
Helleborus foetidus,25530
Helleborus foetidus,9335
Cymbalaria muralis,35023
Cymbalaria muralis,8572
Cymbalaria muralis,21244
Cymbalaria muralis,16141
Cichorium intybus,21791
Cichorium intybus,33085
Iris lutescens,10989
Olea europaea,22127
Viburnum tinus,571
Viburnum tinus,14849
Viburnum tinus,8412
Viburnum tinus,31174
Viburnum tinus,24972
Viburnum tinus,33602
Viburnum tinus,19945
Viburnum tinus,11196
Quercus ilex,9391
Hedera helix,15351
Syringa vulgaris,21174
Syringa vulgaris,33731
Syringa vulgaris,8673
Cistus albidus,13052
Glaucium flavum,22160
Pardoglossum cheirifolium,29896
Pardoglossum cheirifolium,28170
Sedum sediforme,26930
Narcissus dubius,13122
Narcissus dubius,31612
Globularia alypum,5783
Globularia alypum,33761
Globularia alypum,33146
Anemone nemorosa,3791
Anemone nemorosa,9210
Narcissus assoanus,26346
Narcissus assoanus,10800
Narcissus assoanus,29997
Cornus mas,35515
Cornus mas,27266
Euphorbia lathyris,15447
Tussilago farfara,25420
Tussilago farfara,964
Narcissus dubius,23248
Narcissus dubius,176
Narcissus dubius,33333
Narcissus poeticus,27024
Narcissus poeticus,11524
Dipsacus fullonum,15802
Platanus x hispanica,6869
Iris lutescens,26523
Euphorbia characias,18757
Pittosporum tobira,18033
Pittosporum tobira,15708
Pittosporum tobira,3785
Pittosporum tobira,473
Pittosporum tobira,83
Pittosporum tobira,28786
Pittosporum tobira,20786
Pittosporum tobira,22589
Pittosporum tobira,4218
Pittosporum tobira,15467
Pittosporum tobira,16073
Pittosporum tobira,7244
Pittosporum tobira,2975
Pittosporum tobira,6788
Pittosporum tobira,25404
Pittosporum tobira,35378
Pittosporum tobira,22962
Pittosporum tobira,421
Pittosporum tobira,3748
Pittosporum tobira,31298
Pittosporum tobira,3009
Pittosporum tobira,19208
Pittosporum tobira,24562
Pittosporum tobira,26895
Pittosporum tobira,31811
Pittosporum tobira,34093
Ranunculus ficaria,27342
Malva dendromorpha,30353
Malva dendromorpha,2841
Malva dendromorpha,8790
Malva dendromorpha,32966
Malva dendromorpha,17986
Nerium oleander,30669
Nerium oleander,24869
Nerium oleander,12214
Nerium oleander,1372
Nerium oleander,35716
Nerium oleander,29037
Nerium oleander,31473
Nerium oleander,3569
Nerium oleander,3205
Nerium oleander,300
Nerium oleander,31496
Nerium oleander,19606
Nerium oleander,18096
Nerium oleander,22018
Nerium oleander,22671
Nerium oleander,33976
Nerium oleander,27745
Nerium oleander,25793
Olea europaea,32331
Olea europaea,15650
Olea europaea,31586
Olea europaea,14649
Olea europaea,17710
Olea europaea,6334
Olea europaea,10836
Euphorbia characias,24641
Euphorbia characias,27543
Euphorbia characias,34350
Euphorbia characias,27787
Euphorbia characias,34153
Euphorbia characias,25458
Euphorbia characias,33100
Euphorbia characias,25563
Euphorbia characias,14116
Euphorbia characias,21816
Euphorbia characias,24800
Euphorbia characias,14793
Euphorbia characias,24625
Euphorbia characias,34618
Lithodora fruticosa,3062
Lithodora fruticosa,18796
Lithodora fruticosa,16772
Lithodora fruticosa,24718
Lithodora fruticosa,32340
Lithodora fruticosa,21253
Lithodora fruticosa,27767
Lithodora fruticosa,986
Lithodora fruticosa,25998
Lithodora fruticosa,8380
Lithodora fruticosa,16085
Lithodora fruticosa,10675
Lithodora fruticosa,16282
Lithodora fruticosa,4535
Lithodora fruticosa,11598
Iris lutescens,20069
Iris lutescens,19953
Iris lutescens,17118
Iris lutescens,2196
Iris lutescens,18079
Iris lutescens,11909
Iris lutescens,35140
Iris lutescens,35316
Himantoglossum robertianum,8707
Himantoglossum robertianum,1459
Himantoglossum robertianum,1243
Himantoglossum robertianum,33543
Himantoglossum robertianum,7563
Himantoglossum robertianum,35987
Himantoglossum robertianum,7366
Himantoglossum robertianum,34823
Quercus coccifera,9119
Quercus coccifera,11142
Quercus coccifera,25202
Quercus coccifera,21187
Acer opalus,16069
Acer campestre,5512
Acer platanoides,11603
Acer platanoides,25769
Acer opalus,23888
Acer platanoides,25406
Acer pseudoplatanus,11700
Acer negundo,2195
Acer campestre,10507
Acer monspessulanum,25223
Acer monspessulanum,14685
Acer pseudoplatanus,3666
Acer negundo,1291
Acer pseudoplatanus,10033
Acer campestre,761
Narcissus assoanus,7401
Narcissus dubius,713
Narcissus assoanus,1778
Narcissus poeticus,5919
Narcissus dubius,1472
Narcissus poeticus,8198
Narcissus assoanus,24545
Rhus coriaria,28610
Cotinus coggygria,3542
Pistacia terebinthus,7379
Pistacia terebinthus,3100
Cotinus coggygria,398
Rhus coriaria,35176
Pistacia lentiscus,6177
Aphyllanthes monspeliensis,21680
Eryngium maritimum,15304
Eryngium maritimum,30866
Eryngium maritimum,5843
Eryngium maritimum,25429
Echinophora spinosa,8194
Echinophora spinosa,10524
Crithmum maritimum,17426
Echinophora spinosa,5577
Nerium oleander,15360
Nerium oleander,24528
Nerium oleander,31046
Ilex aquifolium,3004
Ilex aquifolium,22607
Hedera helix,23033
Hedera helix,9705
Hedera helix,1699
Aristolochia pistolochia,31690
Aristolochia pistolochia,551
Aristolochia clematitis,9991
Aristolochia clematitis,10927
Asphodelus cerasiferus,6195
Asphodelus cerasiferus,15340
Asplenium scolopendrium,24238
Asplenium scolopendrium,13829
Centaurea aspera,20960
Carthamus lanatus,12601
Eupatorium cannabinum,21271
Cyanus montanus,5955
Tussilago farfara,25182
Centaurea pectinata,24937
Tussilago farfara,10980
Scolymus hispanicus,26577
Centaurea pectinata,11061
Centaurea jacea,1386
Tussilago farfara,9277
Senecio inaequidens,23525
Centaurea aspera,19675
Centaurea jacea,7105
Tussilago farfara,18458
Centaurea aspera,15834
Centaurea pectinata,8720
Eupatorium cannabinum,1522
Scolymus hispanicus,19135
Scolymus hispanicus,5961
Senecio inaequidens,7722
Centaurea jacea,18018
Centaurea jacea,26367
Cichorium intybus,5210
Eupatorium cannabinum,23247
Cyanus montanus,25160
Eupatorium cannabinum,6689
Carthamus lanatus,20394
Cichorium intybus,22031
Alnus glutinosa,24943
Betula pendula,13906
Alnus glutinosa,16960
Alnus glutinosa,4662
Betula pendula,7588
Betula pubescens,8603
Blechnum spicant,2429
Blechnum spicant,14858
Blechnum spicant,6057
Lithodora fruticosa,26115
Echium vulgare,1266
Echium vulgare,15222
Pardoglossum cheirifolium,3483
Echium vulgare,10056
Lithodora fruticosa,3399
Lithodora fruticosa,3505
Matthiola sinuata,7956
Cakile maritima,24785
Matthiola sinuata,3770
Cakile maritima,3608
Cakile maritima,35309
Buddleja davidii,26454
Buddleja davidii,23237
Campanula trachelium,491
Campanula trachelium,26330
Campanula trachelium,19901
Viburnum lantana,22606
Viburnum opulus,4514
Viburnum lantana,10367
Viburnum opulus,24391
Sambucus nigra,26086
Viburnum tinus,36172
Viburnum lantana,9529
Viburnum tinus,10949
Sambucus nigra,21581
Viburnum opulus,23264
Silene dioica,15749
Silene dioica,5327
Silene dioica,2782
Euonymus europaeus,9449
Cistus albidus,10831
Helianthemum apenninum,7488
Helianthemum apenninum,12760
Convolvulus cantabrica,4320
Calystegia soldanella,5390
Convolvulus cantabrica,17218
Convolvulus cantabrica,14272
Convolvulus arvensis,24681
Cornus mas,402
Cornus mas,19344
Cornus sanguinea,14762
Cornus sanguinea,9175
Corylus avellana,6618
Carpinus betulus,13908
Carpinus betulus,15494
Sedum sediforme,23717
Sedum sediforme,19248
Bryonia cretica,7372
Bryonia cretica,28728
Dipsacus fullonum,7543
Dipsacus fullonum,13540
Elaeagnus angustifolia,12392
Gagea bohemica,16112
Salix caprea,9456
Narcissus assoanus,8687
Narcissus assoanus,1385
Castanea sativa,16302
Castanea sativa,6213
Euphorbia characias,28745
Viburnum tinus,5927
Hedera helix,16354
Prunus mahaleb,27577
Prunus mahaleb,21406
Ranunculus ficaria,3924
Ranunculus ficaria,9357
Ranunculus ficaria,35758
Arbutus unedo,4834
Monotropa hypopitys,34659
Monotropa hypopitys,24293
Monotropa hypopitys,14689
Arbutus unedo,18946
Euphorbia nicaeensis,21357
Euphorbia paralias,19755
Euphorbia characias,10053
Euphorbia characias,26569
Euphorbia paralias,22286
Euphorbia paralias,4940
Euphorbia characias,17658
Euphorbia lathyris,29344
Euphorbia nicaeensis,7875
Euphorbia lathyris,23415
Robinia pseudoacacia,16693
Robinia pseudoacacia,10288
Laburnum anagyroides,16171
Gleditsia triacanthos,19626
Laburnum anagyroides,33406
Cercis siliquastrum,18084
Cercis siliquastrum,24108
Cercis siliquastrum,20731
Colutea arborescens,8306
Colutea arborescens,28400
Colutea arborescens,3830
Laburnum anagyroides,20377
Castanea sativa,1652
Quercus coccifera,13859
Quercus petraea,34925
Fagus sylvatica,16493
Quercus pubescens,22724
Quercus robur,19863
Castanea sativa,8694
Castanea sativa,12838
Quercus robur,6083
Quercus rubra,12017
Fagus sylvatica,28980
Quercus ilex,21824
Quercus ilex,1622
Quercus pubescens,4736
Quercus petraea,31967
Quercus pubescens,14856
Quercus ilex,16349
Gentiana pneumonanthe,8926
Gentiana verna,15333
Gentiana purpurea,10040
Gentiana pneumonanthe,25498
Gentiana purpurea,2018
Gentiana verna,25606
Gentiana pneumonanthe,19737
Geranium sylvaticum,19416
Geranium sylvaticum,6317
Geranium sylvaticum,9946
Globularia repens,16404
Globularia bisnagarica,533
Globularia bisnagarica,9997
Globularia alypum,18413
Globularia repens,16121
Globularia alypum,13281
Globularia bisnagarica,12633
Bellevalia romana,35141
Bellevalia romana,34545
Scilla bifolia,13378
Bellevalia romana,22070
Scilla bifolia,15642
Iris lutescens,2713
Iris lutescens,23104
Iris lutescens,18314
Juglans regia,20290
Juglans regia,943
Juglans regia,28033
Clinopodium vulgare,5105
Salvia pratensis,19434
Stachys sylvatica,7156
Clinopodium vulgare,19310
Stachys sylvatica,20454
Salvia pratensis,31789
Salvia pratensis,12167
Laurus nobilis,22373
Laurus nobilis,19299
Laurus nobilis,26364
Lilium martagon,11896
Gagea bohemica,14633
Gagea granatelli,11600
Lilium martagon,13424
Gagea granatelli,13338
Gagea bohemica,26108
Lilium martagon,15008
Gagea bohemica,13711
Gagea bohemica,954
Linum campanulatum,10321
Linum campanulatum,15859
Lythrum salicaria,12078
Lythrum salicaria,3784
Malva sylvestris,8983
Malva dendromorpha,15250
Malva moschata,8727
Malva dendromorpha,3438
Malva sylvestris,15846
Ficus carica,13512
Broussonetia papyrifera,4772
Myrtus communis,27245
Myrtus communis,16737
Myrtus communis,23638
Olea europaea,26371
Fraxinus excelsior,3276
Phillyrea angustifolia,21673
Ligustrum vulgare,14804
Olea europaea,19782
Fraxinus ornus,17015
Olea europaea,7927
Ligustrum vulgare,21231
Fraxinus ornus,19453
Fraxinus angustifolia,18144
Fraxinus ornus,34053
Fraxinus ornus,1230
Epilobium hirsutum,584
Epilobium hirsutum,2363
Epilobium angustifolium,18510
Anacamptis pyramidalis,12363
Epipactis helleborine,4363
Anacamptis pyramidalis,19128
Serapias lingua,14329
Anacamptis pyramidalis,6383
Orchis mascula,26350
Orchis mascula,3997
Ophrys lutea,17950
Orchis purpurea,35355
Dactylorhiza maculata,793
Limodorum abortivum,11505
Himantoglossum hircinum,4899
Orchis mascula,20137
Epipactis helleborine,17862
Epipactis atrorubens,3814
Himantoglossum robertianum,5328
Himantoglossum robertianum,16054
Ophrys lutea,24732
Ophrys apifera,12002
Anacamptis morio,552
Dactylorhiza maculata,5829
Orchis purpurea,20185
Ophrys apifera,880
Serapias lingua,33109
Orchis purpurea,24630
Neottia nidus-avis,10882
Dactylorhiza maculata,2652
Dactylorhiza fuchsii,19129
Serapias lingua,35058
Limodorum abortivum,17065
Papaver somniferum,8535
Glaucium flavum,25093
Papaver somniferum,18266
Glaucium flavum,14905
Parnassia palustris,16486
Parnassia palustris,32756
Parnassia palustris,1963
Phytolacca americana,25403
Phytolacca americana,3802
Pinus halepensis,26667
Pinus halepensis,4391
Pittosporum tobira,25436
Pittosporum tobira,17529
Plantago media,4006
Plantago media,21447
Limonium vulgare,1791
Soldanella alpina,20019
Soldanella alpina,1279
Ranunculus ficaria,35657
Thalictrum aquilegiifolium,24464
Helleborus foetidus,11931
Anemone hepatica,25037
Caltha palustris,4983
Helleborus foetidus,30474
Thalictrum aquilegiifolium,17844
Helleborus foetidus,13152
Pulsatilla alpina,34403
Clematis vitalba,7013
Aquilegia vulgaris,15634
Helleborus foetidus,9918
Adonis annua,7074
Thalictrum aquilegiifolium,13045
Caltha palustris,15484
Aquilegia vulgaris,15155
Aquilegia vulgaris,24536
Thalictrum aquilegiifolium,13407
Pulsatilla alpina,10312
Pulsatilla alpina,18778
Pulsatilla alpina,5309
Ranunculus ficaria,13243
Anemone hepatica,21485
Ranunculus ficaria,2521
Frangula dodonei,28468
Rhamnus cathartica,18588
Frangula dodonei,28787
Rhamnus alaternus,22011
Rhamnus alaternus,7441
Prunus mahaleb,24037
Mespilus germanica,19019
Potentilla recta,2938
Amelanchier ovalis,1715
Crataegus monogyna,21804
Prunus spinosa,4755
Prunus laurocerasus,6354
Crataegus azarolus,35077
Amelanchier ovalis,3365
Rosa canina,6401
Crataegus monogyna,18178
Dryas octopetala,9589
Agrimonia eupatoria,4100
Prunus dulcis,21643
Agrimonia eupatoria,13691
Mespilus germanica,21629
Sorbus aucuparia,4622
Sorbus aria,20505
Crataegus laevigata,6277
Prunus spinosa,20235
Sorbus torminalis,11062
Sorbus domestica,21128
Sorbus torminalis,33377
Prunus mahaleb,5486
Crataegus azarolus,34094
Rosa pendulina,12429
Mespilus germanica,4346
Crataegus monogyna,25416
Rosa canina,7065
Sorbus aria,11996
Amelanchier ovalis,7802
Sorbus aria,14612
Sorbus aucuparia,19520
Crataegus laevigata,21788
Potentilla recta,31204
Prunus mahaleb,26715
Rosa canina,33077
Dryas octopetala,21135
Prunus padus,9952
Amelanchier ovalis,22818
Prunus avium,21692
Crataegus azarolus,28885
Sorbus aucuparia,23615
Crataegus azarolus,7456
Malus sylvestris,155
Sorbus domestica,9236
Prunus avium,5531
Rosa pendulina,21751
Malus sylvestris,13479
Sorbus aucuparia,12491
Crataegus laevigata,19291
Prunus serotina,27321
Prunus dulcis,30055
Mespilus germanica,35726
Potentilla recta,35178
Prunus serotina,28624
Prunus avium,14000
Ruscus aculeatus,33425
Ruscus aculeatus,9550
Ruscus aculeatus,29698
Ruta montana,14167
Populus alba,18982
Populus alba,5855
Populus nigra,6205
Salix alba,27478
Salix alba,3532
Salix caprea,13742
Populus tremula,23064
Populus nigra,408
Salix cinerea,16895
Salix alba,13796
Saxifraga paniculata,12458
Saxifraga paniculata,32311
Saxifraga paniculata,35677
Verbascum pulverulentum,15937
Verbascum thapsus,12797
Verbascum lychnitis,2270
Verbascum sinuatum,15108
Cymbalaria muralis,3409
Verbascum sinuatum,5862
Verbascum sinuatum,22003
Verbascum thapsus,5447
Verbascum sinuatum,7812
Cymbalaria muralis,930
Verbascum lychnitis,5936
Ailanthus altissima,3044
Ailanthus altissima,7615
Smilax aspera,17941
Smilax aspera,16711
Solanum nigrum,18755
Hyoscyamus albus,20429
Hyoscyamus albus,24280
Solanum nigrum,22629
Hyoscyamus albus,11372
Solanum dulcamara,8757
Solanum dulcamara,21378
Taxus baccata,2101
Tilia platyphyllos,7108
Tilia cordata,1717
Tilia cordata,21527
Tilia platyphyllos,17370
Ulmus minor,26041
Celtis australis,10180
Celtis australis,11271
Celtis australis,119
Ulmus minor,9672
Verbena officinalis,5554
Vitex agnus-castus,12081
Verbena officinalis,26169
Vitex agnus-castus,20257
Vitex agnus-castus,16686
Vitex agnus-castus,4109
Verbena officinalis,26708
Vitex agnus-castus,20479
Viola biflora,11471
Iris lutescens,11696
Iris lutescens,27715
Euphorbia characias,34951
Narcissus dubius,29592
Narcissus dubius,10175
Narcissus dubius,24287
Himantoglossum robertianum,26226
Himantoglossum robertianum,14397
Euphorbia characias,9406
Platanus x hispanica,3831
Platanus x hispanica,25791
Platanus x hispanica,22851
Platanus x hispanica,23412
Platanus x hispanica,7915
Platanus x hispanica,24441
Platanus x hispanica,24260
Himantoglossum robertianum,14466
Himantoglossum robertianum,11333
Iris lutescens,3188
Iris lutescens,21946
Iris lutescens,19264
Olea europaea,2524
Platanus x hispanica,13533
Platanus x hispanica,18672
Magnolia grandiflora,5797
Magnolia grandiflora,25016
Celtis australis,29613
Celtis australis,15936
Celtis australis,20863
Celtis australis,25009
Celtis australis,15404
Celtis australis,15535
Celtis australis,11448
Celtis australis,21164
Acer monspessulanum,25808
Acer monspessulanum,17616
Acer monspessulanum,14953
Acer monspessulanum,3967
Acer monspessulanum,31756
Acer monspessulanum,3295
Viburnum tinus,18616
Viburnum tinus,34980
Viburnum tinus,36192
Aesculus hippocastanum,20157
Viburnum tinus,15838
Viburnum tinus,25176
Viburnum tinus,12702
Viburnum tinus,33661
Viburnum tinus,25347
Viburnum tinus,12788
Viburnum tinus,439
Quercus ilex,19662
Quercus ilex,27310
Quercus ilex,20119
Cercis siliquastrum,25541
Cercis siliquastrum,17655
Helleborus foetidus,6930
Arbutus unedo,20428
Nerium oleander,3432
Nerium oleander,3589
Nerium oleander,31910
Nerium oleander,22109
Nerium oleander,19267
Nerium oleander,31178
Nerium oleander,28753
Nerium oleander,22418
Nerium oleander,31555
Nerium oleander,3593
Nerium oleander,2898
Nerium oleander,31095
Nerium oleander,34372
Nerium oleander,15854
Pittosporum tobira,24093
Pittosporum tobira,461
Pittosporum tobira,10728
Pittosporum tobira,487
Pittosporum tobira,2718
Pittosporum tobira,17945
Pittosporum tobira,6971
